"Subsystem"|"Scenario"|"Name (what-if...)"|"Type"|"Severity with existing safeguards in place"|"Likelihood of this severity with existing safeguards in place"|"Risk Ranking"|"Possible Causes"|"Possible Consequences"|"Existing Safeguards"|"Recommended Actions"
"B1. Compressors"|"2"|"Compressor discharge blocked, by closed stop valve, check valve fails shut, plugging, or something else."|"Prior incident anywhere"|"Little or none"|"2% to 5% per year (every 20 to 50 years or so)"|"00. No action needed."|"(1) Corroding, cracking, deteriorating, flexing, stretching, warping, or wear.
(2) Human error or poor judgment.
(3) Mechanical jam or plugging -- moving part stuck, pilot tube or orifice plugged, and so forth."|"(1) Compressor package internal or seal damage, and if safeties fail, leak or fire.
(2) Explosion or fire more likely.
(3) Hinders maintenance or increases the need for repairs.
(4) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(5) Hinders safety, security, health, or environmental protection.
(6) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(7) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(8) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(9) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(10) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(11) Leak of ammonia that will probably cause strong odors or worse offsite.
(12) Overpressure in equipment or piping."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(5) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(6) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(7) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(8) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(9) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(10) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(11) Labeling of equipment, pipes, and valves is adequate, inspected at least yearly, and maintained as needed.
(12) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(13) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(14) Pressure-relief systems are adequately built, located, inspected, tested, and maintained.
(15) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(16) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(17) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(18) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(19) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"B1. Compressors"|"3"|"Compressor operating range is changed without updating safety setpoints (and heads on recips) as needed."|"Prior incident anywhere"|"Injury on-site (needing treatment beyond first aid) or small off-site evacuation/shelter-in-place"|"Very unlikely (less than every 50 years)"|"05. Attention needed -- if any recommended actions, review status at least quarterly."|"(1) Design, fabrication, construction, or installation shortcoming or error."|"(1) Compressor package internal or seal damage, and if safeties fail, leak or fire.
(2) Explosion or fire more likely.
(3) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(4) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(5) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(6) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(7) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(8) Leak of ammonia that will probably cause strong odors or worse offsite.
(9) Severity increases, such as injuries or fatalities more likely due to leak, fire, explosion, weak condition, or unusual load."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(5) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(6) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(7) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(8) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(9) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(10) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(11) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(12) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(13) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(14) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(15) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(16) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"B1. Compressors"|"4"|"Compressor suction blocked, by closed stop valve, check valve (if any) fails shut, plugging, or something else."|"Prior incident anywhere"|"Little or none"|"2% to 5% per year (every 20 to 50 years or so)"|"00. No action needed."|"(1) Corroding, cracking, deteriorating, flexing, stretching, warping, or wear.
(2) Human error or poor judgment.
(3) Mechanical jam or plugging -- moving part stuck, pilot tube or orifice plugged, and so forth."|"(1) Compressor package internal or seal damage, and if safeties fail, leak or fire.
(2) Explosion or fire more likely.
(3) Hinders maintenance or increases the need for repairs.
(4) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(5) Hinders safety, security, health, or environmental protection.
(6) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(7) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Change management is adequate.
(3) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(4) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(5) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(6) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(7) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(8) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(9) Labeling of equipment, pipes, and valves is adequate, inspected at least yearly, and maintained as needed.
(10) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(11) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(12) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(13) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(14) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(15) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(16) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"B1. Compressors"|"5"|"Compressor, reciprocating, internal pressure-relief valve, from crank-case discharge to suction sides, plugged or stuck shut."|"Prior incident anywhere"|"Nuisance on-site"|"Very unlikely (less than every 50 years)"|"01. Lower priority -- track any recommended actions on action register and resolve if convenient."|"(1) Human error or poor judgment.
(2) Mechanical jam or plugging -- moving part stuck, pilot tube or orifice plugged, and so forth.
(3) Spring problem."|"(1) Compressor package internal or seal damage, and if safeties fail, leak or fire.
(2) Explosion or fire more likely.
(3) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(4) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(5) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(6) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(7) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(8) Leak of ammonia that will probably cause strong odors or worse offsite."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(4) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(5) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(6) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(7) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(8) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(9) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(10) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(11) Pressure-relief systems are adequately built, located, inspected, tested, and maintained.
(12) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(13) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(14) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety."|""
"B1. Compressors"|"6"|"Compressors loads up quickly."|"Prior incident anywhere"|"Little or none"|"20% to 90% per year (every couple-few years)"|"00. No action needed."|"(1) Design, fabrication, construction, or installation shortcoming or error.
(2) Normal activity that is reasonably safe with proper precautions."|"(1) Compressor package internal or seal damage, and if safeties fail, leak or fire.
(2) Hinders maintenance or increases the need for repairs."|"(1) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(2) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(3) Controls automate ammonia-refrigeration operations adequately, considering procedures, staffing, and training.
(4) Reciprocating compressors are more tolerant of liquid-ammonia refrigerant than screw compressors."|""
"B1. Compressors"|"7"|"Gasket or shaft-seal failure on compressor, oil separator, screw-compressor oil pump, or oil piping."|"Prior incident anywhere"|"Nuisance on-site"|"20% to 90% per year (every couple-few years)"|"04. Attention needed -- if any recommended actions, review status at least twice per year."|"(1) Corroding, cracking, deteriorating, flexing, stretching, warping, or wear.
(2) Design, fabrication, construction, or installation shortcoming or error.
(3) Inspection, testing, or maintenance (ITM) shortcoming or error."|"(1) Compressor package internal or seal damage, and if safeties fail, leak or fire.
(2) Hinders maintenance or increases the need for repairs.
(3) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(4) Hinders safety, security, health, or environmental protection.
(5) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(6) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(5) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(6) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(7) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(8) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(9) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(10) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(11) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(12) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(13) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(14) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(15) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(16) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(17) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(18) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"B1. Compressors"|"8"|"High discharge-pressure shutoff doesn't work when needed, so a pressure-relief valve opens."|"Prior incident anywhere"|"Injury on-site (needing treatment beyond first aid) or small off-site evacuation/shelter-in-place"|"Very unlikely (less than every 50 years)"|"05. Attention needed -- if any recommended actions, review status at least quarterly."|"(1) Design, fabrication, construction, or installation shortcoming or error.
(2) Inspection, testing, or maintenance (ITM) shortcoming or error."|"(1) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(2) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(3) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(4) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(5) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(6) Leak of ammonia that will probably cause strong odors or worse offsite."|"(1) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(2) Change management is adequate.
(3) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(4) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(5) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(6) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(7) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(8) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(9) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(10) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(11) Pressure-relief systems are adequately built, located, inspected, tested, and maintained.
(12) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(13) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(14) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety."|""
"B1. Compressors"|"9"|"Liquid ammonia sucked into compressors, lots of large droplets or more (slugging)."|"Prior incident anywhere"|"Injury on-site (needing treatment beyond first aid) or small off-site evacuation/shelter-in-place"|"Very unlikely (less than every 50 years)"|"05. Attention needed -- if any recommended actions, review status at least quarterly."|"(1) Condensation
(2) Control valve allows too much flow or remains fully open -- but not including shocks from expansion valves too far open.
(3) Controls are confusing, cumbersome, difficult, or inadequate -- such as too dim, exposed, loud, quiet, sensitive, or small.
(4) Corroding, cracking, deteriorating, flexing, stretching, warping, or wear.
(5) Design, fabrication, construction, or installation shortcoming or error.
(6) Human error or poor judgment.
(7) Inspection, testing, or maintenance (ITM) shortcoming or error.
(8) Level signal wrong -- lower than actual, or float switch stuck in low position.
(9) Mechanical jam or plugging -- moving part stuck, pilot tube or orifice plugged, and so forth.
(10) Procedure is confusing, ignored, misunderstood, or wrong.
(11) Spring problem.
(12) Temperature or humidity changes within or moderately outside of typically expected ranges."|"(1) Compressor package internal or seal damage, and if safeties fail, leak or fire.
(2) Explosion or fire more likely.
(3) Hinders maintenance or increases the need for repairs.
(4) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(5) Hinders safety, security, health, or environmental protection.
(6) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(7) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(8) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(9) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(10) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(11) Leak of ammonia that will probably cause strong odors or worse offsite.
(12) Overpressure in equipment or piping.
(13) Shocks that could damage equipment, piping, or supports."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(5) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(6) Controls automate ammonia-refrigeration operations adequately, considering procedures, staffing, and training.
(7) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(8) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(9) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(10) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(11) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(12) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(13) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(14) Reciprocating compressors are more tolerant of liquid-ammonia refrigerant than screw compressors.
(15) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(16) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(17) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(18) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(19) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(20) Transfer system and its piping are adequately built, controlled, located, inspected, tested, and maintained.
(21) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"B1. Compressors"|"10"|"Lubricating oil and ammonia gas, both hot, spray out of ammonia-refrigerant compressors, oil separators, or nearby piping."|"Prior incident anywhere"|"Injury on-site (needing treatment beyond first aid) or small off-site evacuation/shelter-in-place"|"Very unlikely (less than every 50 years)"|"05. Attention needed -- if any recommended actions, review status at least quarterly."|"(1) Concrete cracking, creep, efflorescence, sagging, or spalling.
(2) Corroding, cracking, deteriorating, flexing, stretching, warping, or wear.
(3) Corrosive materials in vicinity.
(4) Design, fabrication, construction, or installation shortcoming or error.
(5) Fasteners, hangers, rods, or other support components -- loose or missing.
(6) Fire, nearby and severe, or worse, and the resulting heat and temperatures.
(7) Force or impact too strong
(8) Foundations move due to settling, shifting, earthquake, landslide, soil liquefaction, and so forth.
(9) Inspection, testing, or maintenance (ITM) shortcoming or error.
(10) Joint, bolted, problem.
(11) Loads added without properly evaluating.
(12) People are not kept a reasonably safe distance from dangerously malfunctioning things or higher-hazard special work.
(13) Policies or programs -- for contractors, human resources, safety, or training -- are inadequately designed or implemented.
(14) Pressure-relief system inadequate.
(15) Procedure is confusing, ignored, misunderstood, or wrong.
(16) Shocks or vibrations cause damage.
(17) Supports for piping or equipment inadequate, so normal vibrations are amplified into swaying, and so forth."|"(1) Compressor package internal or seal damage, and if safeties fail, leak or fire.
(2) Explosion or fire more likely.
(3) Hinders maintenance or increases the need for repairs.
(4) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(5) Hinders safety, security, health, or environmental protection.
(6) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(7) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(8) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(9) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(10) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(11) Leak of ammonia that will probably cause strong odors or worse offsite."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(5) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(6) Controls automate ammonia-refrigeration operations adequately, considering procedures, staffing, and training.
(7) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(8) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(9) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(10) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(11) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(12) Labeling of equipment, pipes, and valves is adequate, inspected at least yearly, and maintained as needed.
(13) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(14) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(15) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(16) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(17) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(18) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(19) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(20) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access.
(21) Vehicle or heavy cart traffic unlikely to damage ammonia-refrigeration equipment, piping, or supports."|""
"B1. Compressors"|"11"|"Lubricating oil is too hot (compressor overheats)."|"Prior incident anywhere"|"Nuisance on-site"|"2% to 5% per year (every 20 to 50 years or so)"|"02. Lower priority -- track any recommended actions on action register and resolve if convenient."|"(1) Compressor cooling inadequate. [UPDATE - SYSTEM SPECIFIC]
(2) Compressor starved -- little or no inlet-gas flow and low-suction pressure shutoff does not work.
(3) Control valve allows too little or no flow, including expansion, gas-powered, motorized, and solenoid valves and regulators.
(4) Filter or strainer clogged.
(5) Inspection, testing, or maintenance (ITM) shortcoming or error.
(6) Mechanical jam or plugging -- moving part stuck, pilot tube or orifice plugged, and so forth."|"(1) Compressor package internal or seal damage, and if safeties fail, leak or fire.
(2) Explosion or fire more likely.
(3) Hinders maintenance or increases the need for repairs.
(4) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(5) Hinders safety, security, health, or environmental protection.
(6) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(7) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(5) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(6) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(7) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(8) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(9) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(10) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(11) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(12) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(13) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(14) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(15) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(16) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(17) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(18) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"B1. Compressors"|"12"|"Lubricating-oil heater doesn't warm the oil to the temperature needed for adequate lubrication before the compressor starts."|"Prior incident anywhere"|"Nuisance on-site"|"5% to 20% per year (every 5 to 20 years or so)"|"03. Lower priority -- track any recommended actions on action register and resolve if convenient."|"(1) Corroding, cracking, deteriorating, flexing, stretching, warping, or wear.
(2) Design, fabrication, construction, or installation shortcoming or error.
(3) Human error or poor judgment.
(4) Inspection, testing, or maintenance (ITM) shortcoming or error."|"(1) Compressor contains liquid ammonia refrigerant, when it starts, due to condensation while off.
(2) Compressor package internal or seal damage, and if safeties fail, leak or fire.
(3) Hinders maintenance or increases the need for repairs.
(4) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(5) Hinders safety, security, health, or environmental protection.
(6) Human errors become more likely or more severe."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Change management is adequate.
(3) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(4) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(5) Reciprocating compressors are more tolerant of liquid-ammonia refrigerant than screw compressors.
(6) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(7) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(8) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety."|""
"B1. Compressors"|"13"|"Lubricating-oil heater is operating but there is too little or no oil in the compressor."|"Prior incident anywhere"|"Injury on-site (needing treatment beyond first aid) or small off-site evacuation/shelter-in-place"|"2% to 5% per year (every 20 to 50 years or so)"|"06. Attention needed -- if any recommended actions, review status at least monthly."|"(1) Human error or poor judgment.
(2) Inspection, testing, or maintenance (ITM) shortcoming or error.
(3) Procedure is confusing, ignored, misunderstood, or wrong."|"(1) Explosion or fire more likely.
(2) Hinders maintenance or increases the need for repairs.
(3) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(4) Hinders safety, security, health, or environmental protection."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(5) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(6) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(7) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(8) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(9) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(10) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(11) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(12) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(13) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(14) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(15) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(16) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
